 issuenum |    pname    |                                                                                       summary                                                                                        
----------+-------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        8 | In Progress | libtld maintenance
        9 | Open        | Detect whether a plugin loop exists
       10 | Open        | Move the version of each plug in in their header file
       11 | In Progress | File Backend Support
       12 | In Progress | Add the content_delete() function
       13 | Open        | Snap Parser, bare pointers, and memory leaks
       14 | In Progress | Paging with large lists...
       17 | Open        | cassview: Actually add the deleteRows() functionality to cassview
       25 | Open        | Editor "Save" button does nothing if the user made a change and reversed it.
       30 | Open        | Way to setup the website wide email address
       34 | Open        | cassview: Implement forward/back in history
       37 | In Progress | Redirecting user, IFRAMEs and AJAX "calls"
       40 | Open        | The attach/detach session data scheme is currently bogus...
       55 | Open        | tabindex and multiple forms on the same screen (first item with focus)
       56 | Open        | libQtCassandra -- The use of a QMap for cells prevents holding on a sort defined by Cassandra
       59 | Open        | The lists completely mishandle the language at this time!
       66 | Open        | snaplayout not capable of overwriting a file
       79 | Open        | JavaScript dependency with a version ahead of what was available did not break when invalid! And move dependency definitions to the top comment only.
       81 | Open        | It looks like I really need to have an easy way to add information to the editor form session
       82 | Open        | QString not usable with international characters when truncating!
       84 | Open        | mimetype is a plugin which should be optional...
       85 | Open        | Add a configuration to JS variables
       91 | Reopened    | When entering the wrong login information, user is sent to the login box page!?
       98 | Open        | ImageMagick availability test not fully correct
      101 | Open        | Using snapbackend as a standard user fails because the log file is not writable
      103 | Open        | Losing query string on redirects (often if a login is required...)
      109 | In Progress | Server Watchdog task
      110 | In Progress | snapmanager daemon & cgi (was: First installation really not easy)
      115 | Open        | Add a test to verify the page when creating a link
      116 | Open        | Multi-page support within a single scrolling environment...
      117 | Open        | While editing an image, the toolbar is hidden...
      119 | Open        | Editor/Finball: radio & checkbox widgets show the focus outline / fix the tabindex...
      125 | In Progress | snap backends interfere with initialization and update processes.
      126 | Open        | backend: think about a way to by-pass problems by skipping over invalid data
      127 | Open        | xhtml2pdf generates a message «No handlers could be found for logger "ho.pisa"» which could be removed
      129 | Open        | Start/Stop events instead of using detach/attach session...
      143 | Open        | Editor: Saving and redirecting
      144 | Open        | HTML to PDF and Unicode fonts
      146 | Open        | JavaScript: adding a new script which is exactly the same finds the existing md5 and uses that without adding the new name
      147 | Open        | Replace QXmlPatterns? (Because of the many missing features... but at the same time it looks like the only Open Source processor available for XSLT 2, what about 3?)
      148 | Open        | Editor: keep all navigation keys when read-only
      150 | In Progress | Feed: still missing, rather important features
      151 | Open        | e-Commerce Cart may get lost if link is clicked too soon
      152 | Open        | JavaScript: use of our own attributes is not considered legal
      154 | Open        | Cart: the JavaScript implementation needs to use XSLT instead
      157 | Open        | Editor: Save with Error, then successful... Error Message sticks around
      161 | In Progress | Editor: saving needs to make use of a separate body so we can distinguish between the original and filtered data
      163 | Open        | e-Payment: really cheap credit card payment solution (i.e. % and no monthly fee)
      166 | Open        | e-Payment: Buy Now button problem
      168 | In Progress | snap communicator: RPC Server
      171 | Open        | Editor: rename the classes so they make more sense!
      172 | In Progress | Multisite: "sharing" the same install with multiple URIs is not working well
      176 | Open        | editor: Type one letter then Tab immediately, background not hidden
      178 | Open        | Content: Who is the author? (installation)
      179 | Open        | as2js: finish writing tests to get the compiler to do its work and then write the output ("assembler") module
      181 | Open        | firewall tool & setup plugin
      185 | Open        | layout: the Canonical path does not include the query string if there is one for that page...
      187 | In Progress | CSS Preprocessor
      188 | Reopened    | Snap! update: Enhance how the upgrade currently works...
      193 | Open        | Editor: Failed save got the data in the draft, on reload we are missing the Save button though...
      200 | In Progress | xmlsitemap: Add images and "news" to sitemap
      201 | Open        | Pre-compressed content and re-compressing on updates...
      203 | Open        | list: title as key when they include tokens
      204 | Open        | cassview: Add GUI window that runs the checkpermission action
      206 | Open        | Compute MD5 to avoid upload if possible
      211 | Open        | sendmail: Add support for +x hours before sending email
      217 | Reopened    | snapwatchdog: task to work on the snap watchdog server
      219 | Open        | Core: add a signal that allows us to force a Snap! server to reload its configuration file
      222 | Open        | Editor: simple image tweaks
      223 | Open        | Editor: way to create online forms (webform)
      224 | Open        | Image: script editor
      225 | Open        | Redirect from a page to another
      226 | Open        | Let user select a theme on a page
      227 | Open        | Locale/Editor: create a map widget and dropdown too large with all names
      228 | Open        | e-Payment: support for affiliates
      229 | Open        | e-Payment: support for coupons
      230 | Open        | e-Payment: recurring payments
      231 | Open        | e-Payment: make sure our cart to invoice system works
      232 | Open        | e-Payment: allow for the purchase of a role
      233 | Open        | e-Payment: store management
      234 | Open        | Static website upload (a la mo_reference)
      235 | Open        | Headers: Finish the implementation of the Headers plugin
      236 | Open        | SNSD: Finish implementation of the Snap Software Description support.
      237 | Open        | Editor: Minimum handling of branch / revision
      238 | Open        | Editor: allow for the editing of translations
      239 | Open        | Comment: add support for writing comments
      240 | Open        | "Page Links" -- page signature
      241 | Open        | Editor: filter selection
      242 | Open        | Boxes: allow handling of boxes through in-page editing of the boxes
      243 | Open        | Permissions: allow the end users to select permissions for a page they created
      244 | Open        | Editor: define the page type (i.e. really named "taxonomy tag," but we need that to be specialized)
      245 | Open        | Image/Editor: image auto-resize when tag sizes are smaller
      246 | Open        | Editor: clone a page...
      247 | Open        | Blog: add a journal like plugin that replicates a blog functionality
      248 | Open        | Book: create necessary links / functionality to easily create books online
      249 | Open        | Photo Gallery
      250 | Open        | Filter: check out links in the body — Link Checker
      252 | In Progress | Anti-Hammering plugin
      255 | Open        | mailing list implementation
      256 | Open        | Taxonomy: UI for Management
      260 | Open        | User: Profile
      261 | Open        | User: list of users when going to /user
      262 | Open        | List: UI to setup a list (i.e. write a set of list scripts)
      269 | In Progress | Editor: create a password widget
      272 | Open        | Layout: do a sweep over the on_generate_main_content() functions that could instead use output as the owner.
      273 | Open        | snapcommunicator: proper GOSSIP implementation (i.e. ring topology first, then full web)
      275 | Open        | Change the use of listen() along with fork()...
